artistName,resourceType,typeOfVideo,videoUrl,resourceId,title,description,commentCount,likeCount,dislikeCount,viewCount,channelId
3OH!3,video,studio,https://www.youtube.com/watch?v=mdB3Oyd5HtU,mdB3Oyd5HtU,3OH!3 - DON'T TRUST ME [OFFICIAL MUSIC VIDEO],© 2008 Photo Finish Records  From the album WANT - Available Now: http://pfr.ec/WANTalbum  http://3OH3music.com/video  To get more music from 3OH!3- go here: http://pfr.ec/3OH3MusicStore,33190,92088,4570,27053108,null
3OH!3,video,live,https://www.youtube.com/watch?v=CoNY7-YOKyk,CoNY7-YOKyk,"3OH!3 ""My First Kiss"" live at Playboy's Beach House","Hip-hop duo 3OH!3 performs their hit song ""My First Kiss"" at Playboy's wild Beach House in Malibu.",59,369,21,125641,null
3t,video,studio,https://www.youtube.com/watch?v=D86ye9nCBLM,D86ye9nCBLM,3T - I Need You,Music video by 3T performing I Need You. (C) 1995 MJJ Music,734,4473,138,1152146,null
3t,video,live,https://www.youtube.com/watch?v=RdRKS9UExIY,RdRKS9UExIY,3T - ANYTHING (THE BIG REUNION LIVE CONCERT 2014),"3T performing ""Anything"" at The Big Reunion 2014 Live concert at the Hammersmith Apollo.  Check out all performances in the official playlist: https://www.youtube.com/playlist?list=PLepYhrkskk2qhViHEetd-3mnVdwlpzOoW  Watch more videos of The Big Reunion on the official YouTube channel: http://www.youtube.com/BigReunion  http://www.itv.com/thebigreunion",5,97,0,9564,null
4 Non Blondes,video,studio,https://www.youtube.com/watch?v=6NXnxTNIWkc,6NXnxTNIWkc,4 Non Blondes - What's Up,Music video by 4 Non Blondes performing What's Up. (C) 1992 Interscope Records,25198,187850,4490,32700034,null
4 Non Blondes,video,live,https://www.youtube.com/watch?v=o8rJz2hahzM,o8rJz2hahzM,4 Non Blondes - Spaceman (Acoustic Live),1993,9,61,0,13781,null
5 Seconds Of Summer,video,studio,https://www.youtube.com/watch?v=X2BYmmTI04I,X2BYmmTI04I,5 Seconds Of Summer - She Looks So Perfect,Our album is out NOW !!! :D You can get it here: http://po.st/9Xtgmd   If you're in the US/Canada/Mexico- our album will be out from July 22! But you can still preorder it here if ya like :D http://po.st/9Xtgmd  And check out the links for our single below :-)  iTunes Single: http://po.st/9uN0vg  iTunes EP: http://po.st/GIl08b  Webstore: http://po.st/F6vKOH   YOUTUBE: https://www.youtube.com/user/hemmo1996  FACEBOOK: https://www.facebook.com/5secondsofsummer TWITTER: https://twitter.com/5SOS WEBSITE: http://www.5sos.com TUMBLR: http://5sos-official.tumblr.com/  Music video by 5 Seconds of Summer performing She Looks So Perfect. (C) 2014 Capitol Records Ltd.,88132,854601,32605,109499758,null
5 Seconds Of Summer,video,live,https://www.youtube.com/watch?v=Jp5nNebc0oE,Jp5nNebc0oE,5 Seconds Of Summer - Amnesia (Live At The Jingle Bell Ball),5 Seconds Of Summer performing Amnesia as a '3 Piece'  live at Capital Jingle Bell Ball! We Miss You Michael!  See all the JBB Performances: bit.ly/CapitalJBB14 Subscribe: http://bit.ly/SubscribeToCapitalFM  Get involved with the UK's No. 1 Hit Music Station! Website: http://www.capitalfm.com/ Facebook: http://www.facebook.com/CapitalFM Twitter: http://twitter.com/CapitalOfficial,73,1453,8,21832,null
50 Cent,video,studio,https://www.youtube.com/watch?v=olXBfU4Bjp8,olXBfU4Bjp8,I Ain't Gonna Lie by 50 Cent (Official Music Video) | 50 Cent Music,SUBSCRIBE: http://bit.ly/YeOjEy  New music video by 50 Cent performing I Ain't Gonna Lie.  New song off of his latest mixtape- The Lost Tape available for free download now http://www.datpiff.com/50-Cent-The-Lost-Tape-mixtape.351717.html  Brought to you by http://www.Thisis50.com  Previously: Complicated - http://www.youtube.com/watch?v=NMh0MdFrsvY  New video in HD released July 2nd 2012.  50 Cent - I Ain't Gonna Lie (Official Music Video)  G-Unit Records. 2012  About 50 Cent: Curtis James Jackson III- better known by his stage name 50 Cent- is an American rapper- entrepreneur- investor- and actor. This is his official YouTube Music Channel.   Connect with 50 Cent Online: Visit 50 Cent Website: http://bit.ly/WM9S21 Like 50 Cent on Facebook: http://on.fb.me/XxuVyR Follow 50 Cent on Twitter: http://bit.ly/Y4XxPY Follow 50 Cent on Instagram: http://bit.ly/VLeAeX  Buy 50 Cent Music Online: iTunes: http://bit.ly/1663kwB Amazon: http://amzn.to/14p4Gic  I Ain't Gonna Lie by 50 Cent (Official Music Video) | 50 Cent Music http://www.youtube.com/user/50centmusic,5254,31399,3055,13016531,null
50 Cent,video,live,https://www.youtube.com/watch?v=SDLf4y_2OgE,SDLf4y_2OgE,50 Cent Performs 'In Da Club' Live | BRIT Awards 2004,"Subscribe and be the first to access exclusive content from The BRIT Awards 2013: http://bit.ly/U6dQhL  ""In Da Club"" by controversial American rapper 50 Cent is taken from his debut album Get Rich or Die Tryin'. A stunning collaboration with Hip Hop super-producer Dr Dre and Eminem- he performed it live at The BRIT Awards 2004 following a skit involving his apparent arrest.",370,4311,276,1325113,null
5th Dimension,video,studio,https://www.youtube.com/watch?v=kjxSCAalsBE,kjxSCAalsBE,The 5th Dimension   Age of Aquarius 1969,,1737,8892,170,1485875,null
5th Dimension,video,live,https://www.youtube.com/watch?v=aryGG1XnyxY,aryGG1XnyxY,The Fifth Dimension - Wedding Bell Blues (Live),Marilyn McCoo and Billy Davis sing their hit song on an oldies special.,313,0,0,297712,null
69 Boyz,video,studio,https://www.youtube.com/watch?v=qs7f3ssuEjA,qs7f3ssuEjA,69 boyz - Tootsee Roll,the music video tootsee roll    The butterfly? Uh-uh- that's old!  Let me see the Tootsee Roll!  Yeah- 199Quad!  69 Boyz backed up by the Quad City DJ's!  One time !  Cotton candy- sweetie go- let me see the Tootsee Roll!  Tootsee Roll! (8x)  To the left! (2x) To the right! (2x)  To the front! (2x) To the back! (2x)  Slide! (8x)  To the left! (2x) To the right! (2x)  To the front! (2x) To the back! (2x)  Dip- baby- dip! (4x)    Cotton candy- sweetie- go-  Let me see the Tootsee Roll!  (Verse 1)  I don't know what you've been told  It ain't the butterfly- it's the Tootsee Roll  A brand new dance SO-  Grab a partner and get on the dance FLO'  And work them hips a lil' bit  Then do that dip a lil' bit  Oh yeah- you got it- now whip- baby- no buts about it  And you over there- with the long hair  Keep rollin' that derriere  'Cause it ain't hard  Just a brand new dance for the 199Quad  69 in the place to be  Hey yo- 'Ski! What we came to see?  Cotton candy- sweetie- go-  Let me see the Tootsee Roll!  Chorus 1  Bridge:  I feel a whoop comin' on- a whoop comin' on (2x)  Whoop! (8x)  Tootsee Roll! (8x)  To the left! (2x) To the right! (2x)  To the front! (2x) To the back! (2x)  Slide! (8x)  I feel a whoop comin' on- a whoop comin' on (2x)  Whoop! (8x)  Cotton candy- sweetie- go-  Let me see the Tootsee Roll!  I don't know what you've been told  It ain't the butterfly- it's the Tootsee Roll  A brand new dance SO-  Grab a partner and get on the dance FLO'  69 in the place to be  Hey yo- 'Ski! What we came to see?  The butterfly? Uh-uh- that's old!  The butterfly? Uh-uh- that's old!  Let me see the Tootsee Roll!  Tootsee Roll! (8x)  To the left! (2x) To the right! (2x)  To the front! (2x) To the back! (2x)  Slide! (8x)  To the left! (2x) To the right! (2x)  To the front! (2x) To the back! (2x)  Dip- baby- dip! (4x)  I feel a whoop comin' on- a whoop comin' on (2x)  Whoop! (8x)  Just roll! (16x),3814,32064,1151,10214435,null
69 Boyz,video,live,https://www.youtube.com/watch?v=TlnWav8VI-w,TlnWav8VI-w,69 Boyz performing LIVE during the A-Town Legends Concert 2,Dark Knight Entertainment's coverage of the 69 Boyz performing live during the A-Town Legends Concert 2 at Center Stage,0,8,0,1757,null
702,video,studio,https://www.youtube.com/watch?v=3lO5eGEnyRA,3lO5eGEnyRA,702 - Where My Girls At,Music video by 702 performing Where My Girls At. (C) 1998 Motown Records- a Division of UMG Recordings- Inc.,1709,15178,263,3746197,null
702,video,live,https://www.youtube.com/watch?v=H29q4TO4RHE,H29q4TO4RHE,702 - Steelo (Live) (Featuring Missy Elliott),The video freezes in some parts sorry it's the only way I have it :(    From the album No Doubt (1996),97,108,2,64134,null
8th Day,video,studio,https://www.youtube.com/watch?v=kpxXpQQVRk8,kpxXpQQVRk8,"8th Day - ""Gam Zu"" [Official Music Video] - Presented by Oorah","Oorah is proud to present: The Official Music Video for 8th Day's ""Gam Zu"".  From the makers of ""Ya'alili"" - ""Hooleh""- and ""It's Shabbos Now"" comes another fantastic hit- ""Gam Zu"". ""Gam Zu"" was written for Oorah's Auction by 8th day- teaching us that with Nachum's perspective of ""Gam Zu"" - everything in life will turn out just fine. Be sure to check out this year's amazing #OorahAuction at http://oorahauction.org- with some of the #BestPrizesEver- including ""$36-000 cash""- a ""Wedding""- and a ""Sefer Torah""! Video was directed by Oorah's multimedia team with Shmuli Rosenberg- and filmed by Moshe Bree. You can see a preview of this year's Shmorg at http://www.oorahauction.org/shmorg",11,141,7,34395,null
8th Day,video,live,https://www.youtube.com/watch?v=Y-XAcl346io,Y-XAcl346io,8th Day Yalili Live in LA,Chabad of North Hollywood and Young Chevra of Southern California - Grand Community Simchas Beis Hashoeva in LA 2011,2,43,3,29216,null
95 South,video,studio,https://www.youtube.com/watch?v=TjNPH9fc_Qw,TjNPH9fc_Qw,95 South-Monkey Swang,i luv this song,64,398,32,213043,null
95 South,video,live,https://www.youtube.com/watch?v=JNi_xgpVYy0,JNi_xgpVYy0,95 South - Whoot (There It Is) Live,Live from The Arsenio Hall Show.,5,10,1,2562,null
98 Degrees,video,studio,https://www.youtube.com/watch?v=UHZH0TD4RpI,UHZH0TD4RpI,Why (Are We Still Friends) - 98 Degrees,I DO NOT OWN THE SONG AND IMAGE USED. THEY ARE OF THEIR RESPECTIVE OWNERS. Thanks!,63,901,5,124854,null
98 Degrees,video,live,https://www.youtube.com/watch?v=3iDkv1YpOhc,3iDkv1YpOhc,98 Degrees 'The Hardest Thing' Today Show Live,98 Degrees performing,0,51,3,12123,null
